3m,MMM,3M Company
ao smith,AOS,A.O. Smith Corp
abbott,ABT,Abbott Laboratories
abbvie,ABBV,AbbVie Inc.
abiomed,ABMD,ABIOMED Inc
accenture,ACN,Accenture plc
blizzard,ATVI,Activision Blizzard
adobe,ADBE,Adobe Inc.
advanced auto,AAP,Advance Auto Parts
AMD,AMD,Advanced Micro Devices Inc
AES,AES,AES Corp
aflac,AFL,AFLAC Inc
agilient,A,Agilent Technologies Inc
air products ,APD,Air Products & Chemicals Inc
akamai,AKAM,Akamai Technologies Inc
alaska air,ALK,Alaska Air Group Inc
albemarle,ALB,Albemarle Corp
alexandria,ARE,Alexandria Real Estate Equities
alexion,ALXN,Alexion Pharmaceuticals
align,ALGN,Align Technology
allegion,ALLE,Allegion
alliant,LNT,Alliant Energy Corp
allstate,ALL,Allstate Corp
google ,GOOGL,Alphabet Inc. (Class A)
google ,GOOG,Alphabet Inc. (Class C)
altria,MO,Altria Group Inc
amazon,AMZN,Amazon.com Inc.
amcor,AMCR,Amcor plc
ameren,AEE,Ameren Corp
americal airlines,AAL,American Airlines Group
americal electric,AEP,American Electric Power
american express,AXP,American Express Co
american international,AIG,American International Group
american tower,AMT,American Tower Corp.
american water works,AWK,American Water Works Company Inc
ameriprise financial,AMP,Ameriprise Financial
amerisource,ABC,AmerisourceBergen Corp
ametek,AME,AMETEK Inc.
amgen,AMGN,Amgen Inc.
amphenol,APH,Amphenol Corp
analog devices,ADI,Analog Devices Inc.
ansys,ANSS,ANSYS
anthem,ANTM,Anthem
aon,AON,Aon plc
apache,APA,Apache Corporation
apartment investment,AIV,Apartment Investment & Management
apple,AAPL,Apple Inc.
applied materials,AMAT,Applied Materials Inc.
aptiv,APTV,Aptiv PLC
archer,ADM,Archer-Daniels-Midland Co
arista,ANET,Arista Networks
AJG,AJG,Arthur J. Gallagher & Co.
assurant,AIZ,Assurant
at&t,T,AT&T Inc.
atmos,ATO,Atmos Energy
autodesk,ADSK,Autodesk Inc.
ADP ,ADP,Automatic Data Processing
autozone,AZO,AutoZone Inc
avalon bay,AVB,AvalonBay Communities
avery dennison,AVY,Avery Dennison Corp
baker hughes,BKR,Baker Hughes Co
ball ,BLL,Ball Corp
bank of america,BAC,Bank of America Corp
baxter,BAX,Baxter International Inc.
becton,BDX,Becton Dickinson
berkshire hathaway,BRK.B,Berkshire Hathaway
best buy,BBY,Best Buy Co. Inc.
bio rad,BIO,Bio-Rad Laboratories
bio gen,BIIB,Biogen Inc.
blackrock,BLK,BlackRock
boeing,BA,Boeing Company
booking,BKNG,Booking Holdings Inc
borg warner,BWA,BorgWarner
boston properties,BXP,Boston Properties
boston scientific,BSX,Boston Scientific
