short_name,ticker,long_name,average_price,average_volume
3m,['MMM', '3M Company',154.5151454, 4055300.0]
ao smith,['AOS', 'A.O. Smith Corp',43.62159428, 1908492.7536231885]
abbott,['ABT', 'Abbott Laboratories',87.58847814, 8101416.666666667]
abbvie,['ABBV', 'AbbVie Inc.',87.75666676, 10949719.56521739]
abiomed,['ABMD', 'ABIOMED Inc',190.5923908, 701647.8260869565]
accenture,['ACN', 'Accenture plc',193.2668834, 2716434.782608696]
blizzard,['ATVI', 'Activision Blizzard',65.80079712, 7987441.304347826]
adobe,['ADBE', 'Adobe Inc.',363.8784062, 3376179.7101449277]
advanced auto,['AAP', 'Advance Auto Parts',129.61971, 1084479.7101449275]
AMD,['AMD', 'Advanced Micro Devices Inc',50.9576086, 67197347.10144928]
AES,['AES', 'AES Corp',15.44789848, 6060977.536231884]
aflac,['AFL', 'AFLAC Inc',40.44833339, 4305046.376811594]
agilient,['A', 'Agilent Technologies Inc',81.93456536, 2189973.913043478]
air products ,['APD', 'Air Products & Chemicals Inc',231.6343478, 1325763.7681159421]
akamai,['AKAM', 'Akamai Technologies Inc',97.94398537, 2004138.4057971016]
alaska air,['ALK', 'Alaska Air Group Inc',43.02920289, 3033411.5942028984]
albemarle,['ALB', 'Albemarle Corp',72.9297827, 1733193.4782608696]
alexandria,['ARE', 'Alexandria Real Estate Equities',155.4207976, 1043631.1594202898]
alexion,['ALXN', 'Alexion Pharmaceuticals',102.9196375, 2339910.144927536]
align,['ALGN', 'Align Technology',236.9220284, 1110381.884057971]
allegion,['ALLE', 'Allegion',108.4994928, 785679.7101449275]
alliant,['LNT', 'Alliant Energy Corp',51.45362323, 1693931.884057971]
allstate,['ALL', 'Allstate Corp',102.3250724, 2190219.565217391]
google ,['GOOG', 'Alphabet Inc. (Class C)',1364.403566, 2028836.2318840579]
altria,['MO', 'Altria Group Inc',41.53181145, 10901873.913043479]
amazon,['AMZN', 'Amazon.com Inc.',2253.527975, 5198724.637681159]
amcor,['AMCR', 'Amcor plc',9.547681114, 9988976.086956521]
ameren,['AEE', 'Ameren Corp',75.68188394, 1914432.608695652]
americal airlines,['AAL', 'American Airlines Group',17.06775364, 65956141.30434783]
americal electric,['AEP', 'American Electric Power',87.628116, 3281724.637681159]
american express,['AXP', 'American Express Co',103.3815218, 6212700.724637682]
american international,['AIG', 'American International Group',35.08942025, 7603741.304347826]
american tower,['AMT', 'American Tower Corp.',241.8103622, 2233976.086956522]
american water works,['AWK', 'American Water Works Company Inc',127.2143477, 1192542.7536231885]
